text,date,rating,has_official_reply,reactions_total,edited
"Просто ужасное обслуживание в банке, без какой-либо причины и объяснений заблокировали доступ в приложение, я уже вторые сутки сижу и жду когда мне просто вернут доступ в приложение, просто издевательской!!!!",1 апреля 2026,1,False,0,True
"Негативный отзыв о Freedom Bank.🤬
Это просто ужасно! Банк списывает деньги даже тогда, когда лимит на карте закрыт и лимит на интернет-покупки отключён.

17 февраля без моего согласия и без 3D Secure было списано 26 000 тенге. Это вообще как возможно?!

На карте было 947 тенге, а теперь баланс –минус 25 063 тенге.

Полное отсутствие безопасности. Теперь мне эти деньги даже не возвращают. Крайне разочарован обслуживанием. Ужасный банк.😡",27 февраля 2026,1,True,7,True
"Худший сервис
Худшая киберзащита
Худший call center
Худшие разработщики
Отличные маркетологи🔥🔥🔥

Приехал так как у меня списывались деньги с карты просто так. Звонил несколько раз ничего не решилось, просто заблокировали мне карту и я приехал. Моего личного менеджера по премиум картам не было сначала, была на обеде. После сказала не может принять так как у нее срочные дела с руководством и сказала ждать. Я не дождался и после ожидания попал к другому менеджеру. Во всем оказался сам виноват, киберзащита и служба безопасности у банка очень слабая не могут мошеннический сайт даже заблокировать. Рахмет менеджеру Марал что-то постаралась сделать.

Очередь огромный люди часами ждут карточку закрыть!

Менеджер Толеухан Анель для чего вы личный менеджер?! Вам бы я как личному менеджеру из 10 мог бы максимум 1 бал поставить!

Вопрос руководству для чего вы загружаете сверхработой в рабочее время?! Так как многие заняты чем то другим и клиенты не довольны!

Почему бы вам не скопировать готовые проекты по заблокированию нежелательных подписок и сайтов у Каспи банка, Халық банка или даже у Сбербанка??? Фридом может предложить за это только перевыпуск карты за 25000 тг вместо одного клика заблокировать!",18 февраля 2026,1,True,5,True
"Здравствуйте. Хочу оставить честный отзыв.

02.02 мою карту заблокировали в целях безопасности. Меня попросили подтвердить, что перевод совершала именно я — я подтвердила. Далее мне сказали прийти в отделение банка. Я пришла и заполнила все необходимые документы.

После этого мне сообщили, что проверка может занять до одного месяца.

Прошу объяснить: почему я должна ждать целый месяц, если я уже лично пришла в банк, подтвердила свою личность и предоставила все документы, которые от меня требовались?

На карте находится 260 000 тенге — это мои последние деньги. В ближайшее время мне нужно оплачивать кредит, а также покрывать расходы на проживание. Я уточнила у менеджера, почему срок такой долгий, на что получила ответ: «таких проверок очень много, и физически не успевают».

Но разве это должно быть проблемой клиента? Если не хватает сотрудников или ресурсов на проверки — это вопрос организации работы компании. Почему из-за этого должен страдать клиент и искать деньги на обязательные платежи?

Прошу рассмотреть мою ситуацию и ускорить проверку, так как задержка доступа к моим средствам создаёт серьёзные финансовые трудности.",6 февраля 2026,1,True,1,False
"Половина окошек свободны, медленное обслуживание. По итогу 50 минут ждешь в очереди. Время 12:32",8 апреля 2026,1,False,1,False
"очень долго принимает, 2 менеджер всего лишь принимает👎🏻 время 13:15",30 марта 2026,1,True,2,True
"40 минут ждать, что бы закрыть карту. Половина окон не работает.",19 января 2026,1,True,1,False
"Спасибо большое за помощь, за обслуживание и информацию супервайзеру банка Байбосын Акерке.
Очень позитивная и жизнерадостная. Быстро и профессионально помогла открыть счет и пластиковую карту, ответила на все вопросы и предоставила полную информацию по пользованию счетом и картой, а также по всем бонусам. Спасибо огромное!",21 ноября 2025,5,True,2,False
"Очень понравилось отделение, и сотрудники) Менеджер Акерке Байбосын помогла выпустить карту, так приятно от фразы ""я вам помогу"", надежно. На кассе девушки тоже улыбчивые, милые, классно обслужили. Уютное отделение",4 ноября 2025,5,True,2,False
"Менеджер Айганым молодец! Быстро помогла с вопросами и нашла мою карту, потерявшуюся в отделении пол года назад. Выпишите бонусы пожалуйста, долго искала 👍",28 октября 2025,5,True,2,True
"Пришла в отделение получить отсрочку, сделали пролангацию. Приятно знать, что банк идет к тебе на встречу👍🏼 а то в другом банке не помогли ни чем, хотя пришла со всеми документами. Менеджеру Акжан отдельная благодарность за вежливость и терпение 🫶🏻",24 октября 2025,5,True,1,False
40 мин сижу в очереди . До этого 10 мин обьясняла ситуацию менеджеру при входе. Хотела написать заявление .,10 октября 2025,1,True,2,False
"Ильяс Стамшал, рахмет ✊",14 января 2026,5,True,1,False
"Спасибо большое вам за помощь, Ильяс!👍",21 ноября 2025,5,True,1,False
"Спс большое Ерсултану всё чётко объяснил, а также сопроводил в другое здание, отдельное спс специалисту ПКМ Жарылқасын Аружан, за хорошое обслуживание, всё чётко объяснила и проконсультировала по частичному погашению ипотеки",22 сентября 2025,5,True,1,False
Спасибо большое менеджеру Джаткамбаева Айман Бектимуровна за оперативную и вежливую помощь. Проблема была решена быстро и профессионально!☺️,19 сентября 2025,5,True,1,False
"поддержка в мобильном приложении работает отвратительно. консультируют неверно. первый консультант Арман, следующий консультант Саяра.
отвечают шаблонно, не проверяя данные. отписываются только, что денежные средства за возврат билета вернутся в течение 5 рабочих дней и все, хотя 5 раб дней прошли. ни слова про то, что от меня требуются дополнительные действия и необходимо заполнять еще заявления.",3 сентября 2025,1,True,1,False
"Ужасное обслуживание. Не компетентные сотрудники. Больше 40 минут ждала очереди и в итоге люди с номерками позже меня пошли к менеджерам. Мой номер был 291, а обслуживать стали 295. Парень с номером 293 тоже возмущался. Обслужили только после просьбы позвать руководителя. Мобильная связь не ловит, но все время просят открыть приложение Фридом. Приходилось выходить на улицу. 21 век - сделайте бесплатный wi-fi для клиентов 🤦‍♀️. Турлов наверное не в курсе, но надо иногда спускаться на землю в свои филиалы",8 апреля 2026,1,False,0,False
"Пришел открыть счет, прождал 2.5 часа, своей очереди так не дождался. Причем людей особо не было. Если открыть карту такой квест - боюсь представить как они решают нестандартные проблемы при обслуживании. Понял, что это точно не мой банк",3 апреля 2026,1,False,0,False
"Қызмет ету сапасы 10 нан 1,кезекті сағаттап күтесің,өте нашар.банк бөлімшесіне келуге мәжбүрлейтін шешімі жоқ сұрақтар көп.",2 апреля 2026,1,True,0,False
Забирал пластиковую карту. Все чётко. Байболат Айгерим Болаткызы огромное спасибо за профессионализм и доброжелательность!,1 апреля 2026,5,True,0,False
"Недавно посетила банк, нужно было всего лишь закрыть карту. Казалось бы, простая процедура, но в итоге я провела там почти 2 часа в ожидании. Когда наконец мой талон появился на экране, я подошла к окну, но сотрудника на месте не оказалось. Пришлось ждать ещё около 5 минут. В целом обслуживание оказалось очень медленным, и из-за этого осталось неприятное впечатление от визита. Хотелось бы, чтобы такие простые операции выполнялись быстрее и без лишнего ожидания.",30 марта 2026,1,True,0,True
"Ни консультант, ни специалист по обслуживанию физ.лиц не уведомили, что доставка карты для нерезидента составляет 20 тыс тн. И информацию, о том, что карту получить можно было в отделении, тоже никто из сотрудников не озвучил. Некомпетентные работники. Имена еще укажу и хочу разобраться с этой ситуацией, вернусь к вам с юристом. Карта вашего банка оказалась никчемной.",27 марта 2026,1,False,0,True
"Менеджеры молодцы, стараются, действительно оказывают помощь и разъясняют, особенно спасибо менеджеру Милане 🍀

А вот поддержка и чат в ai ассистенте в самом приложении омерзительна, некомпетентна и мне настолько неприятно, что мне приходится ДОКАЗЫВАТЬ, что мои дс получены честным путем. Я дважды отправила все нужные документы, в приложении мне ответили, что в предоставленных документах нет моих данных пришлось ехать в ваше отделение и я предоставила документы менеджеру, спасибо еще раз Милане 💜. И через 3 часа мне пишут на ватсап (я так понимаю оператор из приложения), чтобы я снова предоставила документы, я объясняю, что мне менеджер отделения банка все оформил, а мой перевод отменили! И сейчас я снова пытаюсь сделать перевод снова предоставив документы и меня снова скамит приложение (если там ИИ-то он вообще не доработан). Чувствую себя оскорбленно.",20 марта 2026,5,True,0,True
"Лучший банк , и классный офис !
Чисто и красиво .
Менеджера быстро и легко обслуживают ! Мы с мамой довольны !",20 марта 2026,5,True,0,False
"Посетил данное отделение сегодня примерно в 18:25–18:30.

На входе меня встретил консультант. Я достаточно понятно объяснил, по какому вопросу пришёл и какой услугой хотел воспользоваться. Однако вместо того, чтобы сразу выдать талон, он начал ходить туда-сюда, что-то уточнять у других сотрудников, а потом и вовсе исчез 👍

В итоге я просто потерял время. Другой консультант позже без каких-либо лишних уточнений сразу выдал мне талон)))

Отдельно хочется отметить, что всё отделение по вопросам счетов и другим подобным услугам обслуживает всего одно окно.
Из-за этого очередь движется крайне медленно.

Передо мной оставался всего один человек, и его отпустили примерно в 18:55. У меня был буквально один короткий вопрос, но в итоге на меня просто забили — менеджер не принял меня. Хотя по-человечески можно было уделить клиенту пару минут.

Итог: зря потраченное время и испорченное настроение 🤣

Зато, благодаря вам сделал для себя важный вывод: у ваших конкурентов сотрудники гораздо лучше ориентируются в вопросах клиентов и в целом более человечно относятся к посетителям.С подобными ситуациями я сталкивался и раньше, поэтому есть с чем сравнить.

Если хотите потратить нервы и впустую потерять время — вам сюда 👍",18 марта 2026,1,True,0,False
"Малахан Диас өз ісінің нағыз маманы. Клиентпен дұрыс сөйлесіп, барлық детальды түсіндіріп берді. Әрқашан байланыста болып, жұмысты соңына дейін бақылап отырды. Осындай жауапты менеджерлер көп болса екен! Міндетті түрде тағы да жүгінемін.",27 февраля 2026,5,True,1,False
"Спасибо супервайзеру Байбосын Акерке! Отличный банк, вежливый персонал знающие свою работу. Процветания вам!",24 февраля 2026,5,True,1,False
"Огромная благодарность менеджеру Меруерт за оперативность и профессионализм, благодаря ей успешно и быстро осуществили нужную операцию🎉🎉🎉, мужчине на ресепшен отдельное спасибо: увидев что мы с малышом без очереди подвел нас к менеджеру ❤️❤️❤️, будем к вам возвращаться снова и снова 💕💕💕",18 февраля 2026,5,True,0,False
"Выдача кредитов без проблем. На этом огромное спасибо. Но кассир, менеджера не помогают и не подсказывают выгодные условия для меня. Пришлось комиссию оплатить 95000, хотя все могло обойтись в 5000. За это обидно конечно!",14 февраля 2026,1,True,1,True
"Хочу поблагодарить Байболат Айгерим за четкость, быстроту и очень чуткое отношение ко мне, как клиенту. Благодаря ей я успела оформить очень важную сделку.",12 февраля 2026,5,True,1,False
"Сегодня были в банке для получения выписки, менеджер Меруерт Тугулбаева очень хорошо нам помогла, грамотная и профессиональная девушка",4 февраля 2026,5,True,1,False
Байболсын Ақерке лучший персонал. Бывал во многих филиалах банков КЗ. Но в первые вижу такое приятное обслуживание. Большое спасибо. Желательно повышение таким кадрам банка.,2 февраля 2026,5,True,3,False
"Подошли чтоб сделать детскую карту, к сожалению деткую карту нужно только заказывать домой. В банке и в картомате его не получите. Так что когда оформляется power card заказывайте сразу курьером.",28 января 2026,3,True,0,False
"Менеджер Алмас отличный специалист! Провел полную консультацию по использованию карты Freedom Bank доступно, быстро и понятно!",28 января 2026,5,True,1,False
"Большое спасибо менеджеру Акерке за профессионализм, терпение и доброжелательность. Обслуживание было на высшем уровне, очень приятно обращаться к таким сотрудникам!
Мне понравилась!
(URU)",28 января 2026,5,True,2,True
"1 сұрақ қойып едім жауап бере алмады. Алдарына барсаң қиналып, әбіржіп отырады. Сервис нашар. Қыздар гүж-гүж әңгәме айтып отыр. Басшылық тарапынан қадағалау жоқ",27 января 2026,1,True,3,True
"Доброе субботнее утро. Хочу выразить благодарность за помощь в получении карты и подробную консультацию по всем вопросам супервайзера Стамшал Ильяса. Все было чётко и понятно, благодаря чему процесс прошёл быстро. Отмечаю профессионализм, внимательное отношение и готовность помочь. Как приятно получить настроение на целый день 👍 ⭐️",24 января 2026,5,True,1,False
"Стамшал Ильяс супервайзердің қызметіне ризамын! Рақмет! Өз жұмысын жоғары дәрежеде орындады, халыққа осылай қызмет жасай беріңіздер! Өсе беріңіздер! Фридом банкінің филиалдары кіші қалаларда да ашылса екен.👍👍👍",24 января 2026,5,True,2,True
"Сегодня оформляла карту банка. Помогал мне в этом Амантай Ерсултан. Отличный специалист, тактичный, спокойный. А в моем случае спокойствие было не обходимо. Остались только отличное впечатление о банке и о сотрудниках",21 января 2026,5,True,1,False
Байболат Айгерим- огромное спасибо! Все документы для визы помогла выгрузить за 10 минут ! Шикарный банковский сервис,20 января 2026,5,True,1,False
"Добрый день! Хочу поблагодарить супервайзера Акерке за внимание, доброжелательность, профессиональное отношение к своей работе! Это очень приятно. Желаю успехов ей и всему коллективу Банка! Спасибо!",20 января 2026,5,True,2,False
"очень вежливый и ответственный персонал)
старший менеджер Алькенова Айгерим очень хорошо понимает и выполняет свои обязанности🫶🏻",20 января 2026,5,True,1,False
Спасибо большое за менеджера Оразабай Әсел за ее профессиональный подход к клиенту по больше бы таких рабочих знающих свое дело.Проста мастер своего дела !!!!,20 января 2026,5,True,2,False
"Айганымга рахмееет, сурактарымнын жылдам шешилуине комектести",23 сентября 2025,5,True,1,True
"Аружан Гадилкумар умничка, спасла ситуацию от гневного комментария.",29 августа 2025,5,True,3,False
"Очень медленно работают
Грубят
Нет места для парковки",15 апреля 2026,1,True,0,False
"Пришел деньги снять с депозита, говорят ждите 2 часа",7 апреля 2026,1,True,0,False
"Сотрудники очень вежливо встретили,хорошо обслужили,все объяснили кратко и ясно🤗",20 марта 2026,5,True,0,True
Спасибо супервайзерам за их работу и профессиональное отношение к своим клиентам👍🏻,6 марта 2026,5,True,1,False
"Спасибо супервайзеру Байбосын Акерке, активная и умная👏",9 февраля 2026,5,True,2,False
"Менеджер Айгерим жаксы тусиндирди, озинин жумысын жаксы билетин маман екен",5 февраля 2026,5,True,1,False
Менеджер Тугулбаева Меруерт Нурдаулеткызы өте тез әрі сапалы жұмыс жасады. Көп рахмет! 👍👍👍👍👍,4 февраля 2026,5,True,1,False
"Сижу почти час, что бы просто открыть счет. Менеджер отвлекается на телеыон все время.",4 февраля 2026,1,True,1,False
Спасибо все быстро. Меруерт все оперативно решила и подсказала по моим вопросам. Рекомендую!,3 февраля 2026,5,True,1,False
Спасибо большое Айгерим. Очень хорошо обслуживание. Классный банк.,2 февраля 2026,5,True,2,False
Алмас есімді қызметкер өте анық нақты сұраққа жауап берді және ең маңыздысы таза Қазақ тілде!!!,28 января 2026,5,True,3,False
"Всем рекомендую банк!!! Менеджер Алмас все объяснил, вопросов никаких не осталось.",21 января 2026,5,True,1,False
быстро решили проблему спасибо Байболат Айгерім Болатқызы,20 января 2026,5,True,1,False
Оразбай Асем хорошо справилась со своей работой 😍😍😍😍😍,19 января 2026,5,True,2,False
"Очень благодарен за предоставление полной информации по продуктам банка Алмасу (специалист банка)
Настоящий профессионал! Удачи ему и банку!",15 января 2026,5,True,2,False
"Сәлеметсіздер ме!
Маған үнемі Ерсұлтан менеджер көмектеседі!
Көп рахмет!
Сапалы әрі тез жасайды жұмысын!",15 января 2026,5,True,1,False
